window,user_gap_difference_user_minus_global,group_gap_difference_user_minus_global,personalization_conflict,reverse_conflict,pareto_conflict_margin,pareto_tradeoff_length,user_weight_switch_threshold
Ausgrid|lightgbm_quantile|0.8|1.0|2012-07,-0.012268044017693398,-0.0023735873162868005,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.8|1.0|2012-08,-0.012147570755565103,-0.0002955540607269998,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.8|1.0|2012-09,-0.005300074321813501,0.0017834595959594982,True,False,0.0017834595959594982,0.005592094057432052,0.25177540146800087
Ausgrid|lightgbm_quantile|0.8|1.0|2012-10,-0.009240479016075099,-0.0035580356361472,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.8|1.0|2012-11,-0.011696395392047605,-0.0011243188463582986,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.8|1.0|2012-12,-0.014051318013449797,-0.0032046594562182,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.8|1.0|2013-01,-0.015635001977919297,-0.0018512481597519996,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.8|1.0|2013-02,-0.013096731167383299,-0.010017586580086401,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.8|1.0|2013-03,-0.016338961412594003,-0.0050146564581633,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.8|1.0|2013-04,-0.0109183389074693,0.0021016081871343996,True,False,0.0021016081871343996,0.01111876258720314,0.16141449514840506
Ausgrid|lightgbm_quantile|0.8|1.0|2013-05,-0.011008918617614296,0.0004468228550359027,True,False,0.0004468228550359027,0.011017982564564035,0.03900427188433518
Ausgrid|lightgbm_quantile|0.8|1.0|2013-06,-0.012423355629877297,-0.0003509902333152029,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.8|6.0|2012-07,-0.016947621102600105,-0.0076522600795733,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.8|6.0|2012-08,-0.021570108246125104,-0.0114271160244208,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.8|6.0|2012-09,-0.012037811222593897,-0.009603851010101,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.8|6.0|2012-10,-0.014241917502787096,-0.006979815129220801,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.8|6.0|2012-11,-0.0125998699368264,-0.0017377724614566978,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.8|6.0|2012-12,-0.014761570827489495,-0.0158706547097177,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.8|6.0|2013-01,-0.014723810551299996,-0.005724702789008999,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.8|6.0|2013-02,-0.019925047778308697,-0.008768099115231898,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.8|6.0|2013-03,-0.02568328118819,-0.007791733120680502,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.8|6.0|2013-04,-0.014641397250092898,0.0008650097465886016,True,False,0.0008650097465886016,0.01466692726158827,0.05578402184166331
Ausgrid|lightgbm_quantile|0.8|6.0|2013-05,-0.019186715575214806,-0.0005010847009996981,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.8|6.0|2013-06,-0.026421404682274302,-0.0025111909929463015,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.9|1.0|2012-07,-0.0097443988923652,-0.0030694787432904,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.9|1.0|2012-08,-0.0104380192037976,-0.0018336318791506,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.9|1.0|2012-09,-0.007179022668153099,0.0010101010101009993,True,False,0.0010101010101009993,0.00724973589315246,0.12334665463452256
Ausgrid|lightgbm_quantile|0.9|1.0|2012-10,-0.0096832632071061,-0.0025621259945119,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.9|1.0|2012-11,-0.0111784652545522,0.0007768197324119,True,False,0.0007768197324119,0.011205424326811337,0.06497709868555496
Ausgrid|lightgbm_quantile|0.9|1.0|2012-12,-0.009791599237601999,-0.0027598639789985996,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.9|1.0|2013-01,-0.010188531664688697,0.0015195996467219,True,False,0.0015195996467219,0.010301231022003223,0.12979010965147933
Ausgrid|lightgbm_quantile|0.9|1.0|2013-02,-0.010109591495461104,-0.0049298384712367005,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.9|1.0|2013-03,-0.012964811018808201,-0.0036041219477782995,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.9|1.0|2013-04,-0.009434225195094799,0.0039595516569201,True,False,0.0039595516569201,0.010231454166225845,0.295626222585935
Ausgrid|lightgbm_quantile|0.9|1.0|2013-05,-0.0071007300320063,0.0035230903719781007,True,False,0.0035230903719781007,0.007926697468464467,0.3316217931034288
Ausgrid|lightgbm_quantile|0.9|1.0|2013-06,-0.010549052396878502,-0.0026467765921101994,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.9|6.0|2012-07,-0.011398658611141099,-0.007419135111728498,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.9|6.0|2012-08,-0.0158341424821089,-0.011124080362195799,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.9|6.0|2012-09,-0.010107766629505799,-0.0081597222222223,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.9|6.0|2012-10,-0.010370590139173599,-0.0017323734872043,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.9|6.0|2012-11,-0.009102099591229998,0.005884472951161001,True,False,0.005884472951161001,0.010838599488938354,0.3926496825419013
Ausgrid|lightgbm_quantile|0.9|6.0|2012-12,-0.009249469558024997,-0.0030435297437291994,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.9|6.0|2013-01,-0.012779605854640903,-0.0044508111677042,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.9|6.0|2013-02,-0.013299788979136803,-0.0032104050910429,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.9|6.0|2013-03,-0.0182229294781889,-0.0033742829397541,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.9|6.0|2013-04,-0.009740802675585303,0.0038194444444443997,True,False,0.0038194444444443997,0.010462857765872906,0.2816648111672491
Ausgrid|lightgbm_quantile|0.9|6.0|2013-05,-0.012881198978674395,-5.895114129399193e-06,False,False,0.0,0.0,
Ausgrid|lightgbm_quantile|0.9|6.0|2013-06,-0.016455314009661902,0.0004991358694561021,True,False,0.0004991358694561021,0.01646288236527106,0.029439815093668373
Ausgrid|persistence_quantile_interval|0.8|1.0|2012-07,-0.014526468155500398,-0.010015771281151997,False,False,0.0,0.0,
Ausgrid|persistence_quantile_interval|0.8|1.0|2012-08,-0.005364656381486699,-0.017305911406081204,False,False,0.0,0.0,
Ausgrid|persistence_quantile_interval|0.8|1.0|2012-09,0.008612040133779295,0.00042239404352800713,False,False,0.0,0.0,
Ausgrid|persistence_quantile_interval|0.8|1.0|2012-10,0.0038956018268780992,-0.004711229353730195,False,True,0.0,0.0,
Ausgrid|persistence_quantile_interval|0.8|1.0|2012-11,-0.0028381642512076977,-0.0151045120676835,False,False,0.0,0.0,
Ausgrid|persistence_quantile_interval|0.8|1.0|2012-12,-0.011020156795051604,-0.0010913999931402019,False,False,0.0,0.0,
Ausgrid|persistence_quantile_interval|0.8|1.0|2013-01,-0.014070198151544602,-0.0033403418339663996,False,False,0.0,0.0,
Ausgrid|persistence_quantile_interval|0.8|1.0|2013-02,-0.0089534559643255,-0.0029224963181150006,False,False,0.0,0.0,
Ausgrid|persistence_quantile_interval|0.8|1.0|2013-03,-0.016410885748192897,-0.0086712916074614,False,False,0.0,0.0,
Ausgrid|persistence_quantile_interval|0.8|1.0|2013-04,0.0006897993311036008,0.0018756645401381972,False,False,0.0,0.0,
Ausgrid|persistence_quantile_interval|0.8|1.0|2013-05,-0.004223756608048301,0.0010254818987841044,True,False,0.0010254818987841044,0.0043464621255413635,0.19535822147333137
Ausgrid|persistence_quantile_interval|0.8|1.0|2013-06,-0.007838628762541794,2.3674242424207015e-05,True,False,2.3674242424207015e-05,0.007838664512957666,0.0030111078661371675
Ausgrid|persistence_quantile_interval|0.8|6.0|2012-07,-0.028455065271334505,-0.0317621414930818,False,False,0.0,0.0,
Ausgrid|persistence_quantile_interval|0.8|6.0|2012-08,-0.020989319236163602,-0.0415058908267736,False,False,0.0,0.0,
Ausgrid|persistence_quantile_interval|0.8|6.0|2012-09,0.002773132664437003,-0.0022520631573467037,False,True,0.0,0.0,
Ausgrid|persistence_quantile_interval|0.8|6.0|2012-10,-0.002442280720681811,-0.012845028267376088,False,False,0.0,0.0,
Ausgrid|persistence_quantile_interval|0.8|6.0|2012-11,-0.015440356744704599,-0.0219788087056128,False,False,0.0,0.0,
Ausgrid|persistence_quantile_interval|0.8|6.0|2012-12,-0.026576941058007002,0.0044429712736558,True,False,0.0044429712736558,0.026945756432865436,0.1432296528162895
Ausgrid|persistence_quantile_interval|0.8|6.0|2013-01,-0.024896608767576593,-0.0088633344807535,False,False,0.0,0.0,
Ausgrid|persistence_quantile_interval|0.8|6.0|2013-02,-0.0212056059882147,-0.006489322533137096,False,False,0.0,0.0,
Ausgrid|persistence_quantile_interval|0.8|6.0|2013-03,-0.027775380299924407,-0.0147064519908093,False,False,0.0,0.0,
Ausgrid|persistence_quantile_interval|0.8|6.0|2013-04,-0.011482720178372402,-0.005845184299131598,False,False,0.0,0.0,
Ausgrid|persistence_quantile_interval|0.8|6.0|2013-05,-0.0006261912468083081,0.0023664863833583044,True,False,0.0006261912468083081,0.002447932450089179,0.7907588707529966
Ausgrid|persistence_quantile_interval|0.8|6.0|2013-06,-0.0068631549609810966,-0.0012547348484847898,False,False,0.0,0.0,
Ausgrid|persistence_quantile_interval|0.9|1.0|2012-07,-0.011862570575754298,-0.0125884457729943,False,False,0.0,0.0,
Ausgrid|persistence_quantile_interval|0.9|1.0|2012-08,-0.006339231128852502,-0.013364223731371302,False,False,0.0,0.0,
Ausgrid|persistence_quantile_interval|0.9|1.0|2012-09,0.003328223708658505,-0.0058562428407788955,False,True,0.0,0.0,
Ausgrid|persistence_quantile_interval|0.9|1.0|2012-10,-0.0012959866220736,-0.004631317960113304,False,False,0.0,0.0,
Ausgrid|persistence_quantile_interval|0.9|1.0|2012-11,-0.004229375696766999,-0.011843548240133301,False,False,0.0,0.0,
Ausgrid|persistence_quantile_interval|0.9|1.0|2012-12,-0.009476031215161704,-0.005974162250690201,False,False,0.0,0.0,
Ausgrid|persistence_quantile_interval|0.9|1.0|2013-01,-0.0120100154637322,-0.004461395577163799,False,False,0.0,0.0,
Ausgrid|persistence_quantile_interval|0.9|1.0|2013-02,-0.009501413441630899,-0.0077114747902442,False,False,0.0,0.0,
Ausgrid|persistence_quantile_interval|0.9|1.0|2013-03,-0.0141304347826087,-0.0125852178250749,False,False,0.0,0.0,
Ausgrid|persistence_quantile_interval|0.9|1.0|2013-04,-0.00016722408026750152,0.0028296949760765987,True,False,0.00016722408026750152,0.002834631819241161,0.9442013357306034
